HorseName,SexAge,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,JockeyId,JockeyId_current,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
サクラエナジー,牝2,2025/12/11,船橋,晴,1,2歳　29P,,11,8,10,129.3,8,7,岡村健司,05562,a02b0,54,ダ1200,,良,-6,1:19.9,2.0,-7,5-4-4,38.5-39.4,40.9,442(-4),,,アセレラドール,
サクラエナジー,牝2,2025/11/07,船橋,晴,1,2歳　29P,,12,2,2,225.6,11,7,野澤憲彦,05358,a02b0,54,ダ1200,,良,-7,1:20.6,2.9,-18,8-6-6,37.4-40.3,42.3,446(-6),,,シャイニーライフ,
サクラエナジー,牝2,2025/10/01,船橋,曇,2,2歳五,,8,1,1,74.3,6,8,野澤憲彦,05358,a02b0,54,ダ1200,,稍,-6,1:22.0,3.4,-36,8-8-8,37.4-41.2,42.3,452(+1),,,フォースメン,
サクラエナジー,牝2,2025/08/28,船橋,晴,2,2歳五,,8,5,5,12.0,4,7,岡村健司,05562,a02b0,54,ダ1200,,良,-5,1:20.7,2.8,-17,4-4-5,37.8-40.1,42.2,451(+10),,,イナビカリ,
サクラエナジー,牝2,2025/07/31,船橋,晴,2,ハイビスカスデビュー(2歳),,5,2,2,20.3,4,5,野澤憲彦,05358,a02b0,54,ダ1000,,良,-6,1:06.8,4.1,-28,5-5,36.6-38.1,39.6,441(0),,,ジオパークラブ,41.0
フロムイエスタディ,牡2,2025/12/11,船橋,晴,1,2歳　29P,,11,7,8,152.9,9,5,町田直希,05455,05455,55,ダ1200,,良,-6,1:19.7,1.8,-5,10-5-5,38.5-39.4,40.7,496(+13),,,アセレラドール,20.0
フロムイエスタディ,牡2,2025/11/07,船橋,晴,2,2歳　29P,,12,6,8,155.3,9,11,藤本現暉,05590,05455,55,ダ1200,,良,-7,1:20.6,4.2,-18,11-12-11,37.1-39.3,41.0,483(+4),,,プラウドブルーム,
フロムイエスタディ,牡2,2025/10/03,船橋,曇,3,ローズデビュー(2歳),,7,5,5,75.0,7,7,藤本現暉,05590,05455,54,ダ1500,,良,-10,1:44.5,6.5,-26,7-7-7-7,32.2-38.9,43.8,479(0),,,ナリスナ,
ミノホタテ,牡2,2025/12/11,船橋,晴,1,2歳　29P,,11,6,7,9.1,4,11,椿聡太,a05d9,05598,52,ダ1200,,良,-6,1:21.8,3.9,-33,2-10-10,38.5-39.4,41.9,451(+19),,,アセレラドール,
ミノホタテ,牡2,2025/08/28,船橋,晴,1,2歳六,,7,4,4,28.4,5,5,所蛍,a050f,05598,52,ダ1200,,良,-5,1:19.8,1.9,-5,2-2-2,38.1-39.8,41.5,432(0),,,アイリーナ,21.0
ミノホタテ,牡2,2025/08/01,船橋,曇,4,ハイビスカスデビュー(2歳),,7,7,7,88.2,7,7,所蛍,a050f,05598,52,ダ1200,,良,-6,1:19.4,4.1,-1,7-6-6,36.7-38.6,41.2,432(0),,,バイラノーチェ,
マサノカトレア,牝2,2025/12/12,船橋,晴,2,カトレアデビュー(2歳),,7,5,5,42.5,6,5,木間塚龍,05607,05562,54,ダ1000,,良,-6,1:03.8,0.8,22,6-5,35.5-39.7,39.2,449(0),,,サンシンメフレール,41.0
コンシェルディー,牝2,2025/10/01,船橋,曇,2,2歳五,,8,8,8,81.6,7,6,木間塚龍,05607,05607,54,ダ1200,,稍,-6,1:20.4,1.8,-14,7-7-7,37.4-41.2,41.3,475(+4),,,フォースメン,
コンシェルディー,牝2,2025/08/30,船橋,晴,3,プルメリアデビュー(2歳),,5,1,1,10.8,4,5,笠野雄大,a0235,05607,54,ダ1000,,良,-9,1:06.4,5.5,-24,5-5,35.6-36.9,39.7,471(0),,,ミコディパーチャ,41.0
シーオブスターズ,牝2,2025/10/03,船橋,曇,3,ローズデビュー(2歳),,7,2,2,4.5,2,5,所蛍,a050f,05549,52,ダ1500,,良,-10,1:40.9,2.9,12,4-4-5-6,32.2-38.9,41.1,457(0),,,ナリスナ,41.0
エンペドラード,牝2,2025/12/11,船橋,晴,1,2歳　29P,,11,3,3,124.1,7,9,臼井健太,05554,05554,54,ダ1200,,良,-6,1:20.3,2.4,-13,8-7-8,38.5-39.4,41.0,434(-1),,,アセレラドール,
エンペドラード,牝2,2025/11/07,船橋,晴,1,2歳　29P,,12,6,8,242.3,12,6,臼井健太,05554,05554,54,ダ1200,,良,-7,1:20.5,2.8,-16,12-10-9,37.4-40.3,41.6,435(0),,,シャイニーライフ,
エンペドラード,牝2,2025/10/02,船橋,晴,7,マキバスナイパー・メ(2歳),,11,4,4,333.5,10,10,臼井健太,05554,05554,54,ダ1500,,稍,-6,1:44.0,5.0,-17,11-11-10-9,31.3-40.6,43.5,435(+2),,,トウキョーアンナ,
エンペドラード,牝2,2025/08/28,船橋,晴,2,2歳五,,8,3,3,21.7,5,6,臼井健太,05554,05554,54,ダ1200,,良,-5,1:20.6,2.7,-16,7-8-8,37.8-40.1,41.0,433(+1),,,イナビカリ,
エンペドラード,牝2,2025/07/30,船橋,晴,2,2歳三,,9,5,5,126.7,8,7,臼井健太,05554,05554,54,ダ1200,,良,-7,1:20.2,2.8,-12,6-6-6,36.4-41.0,42.0,432(+8),,,ストゥディア,
キャッスルギフト,牡2,2025/12/11,船橋,晴,2,2歳　29P,,12,6,7,38.6,8,12,澤田龍哉,05452,05452,55,ダ1200,,良,-6,1:20.2,3.8,-11,5-8-11,37.1-39.3,41.9,453(-4),,,リュウノレガシー,
キャッスルギフト,牡2,2025/11/07,船橋,晴,1,2歳　29P,,12,4,4,5.1,4,9,澤田龍哉,05452,05452,55,ダ1200,,良,-7,1:21.1,3.4,-25,3-5-5,37.4-40.3,43.0,457(+1),,,シャイニーライフ,
キャッスルギフト,牡2,2025/10/02,船橋,晴,2,ローズデビュー(2歳),,8,7,7,58.1,6,5,澤田龍哉,05452,05452,54,ダ1000,,稍,-6,1:04.4,2.8,12,3-4,36.6-37.0,39.6,456(0),,,ライトカーテン,41.0
ラヴィエベル,牝2,2025/12/11,船橋,晴,2,2歳　29P,,12,5,5,36.1,7,4,所蛍,a050f,a05d8,52,ダ1200,,良,-6,1:18.1,1.7,17,6-5-6,37.1-39.3,40.3,387(+1),,,リュウノレガシー,30.0
ラヴィエベル,牝2,2025/11/07,船橋,晴,4,ユーカリデビュー(2歳),,8,1,1,104.4,7,8,山本大翔,05682,a05d8,51,ダ1200,,良,-7,1:18.7,3.0,8,3-5-4,36.9-38.8,41.4,386(0),,,グリオット,
レッドリリー,牝2,2025/12/11,船橋,晴,2,2歳　29P,,12,7,10,43.6,9,11,野澤憲彦,05358,05358,54,ダ1200,,良,-6,1:19.6,3.2,-3,7-7-7,37.1-39.3,41.7,449(+3),,,リュウノレガシー,
レッドリリー,牝2,2025/11/06,船橋,曇,3,ユーカリデビュー(2歳),,6,2,2,27.6,5,5,野澤憲彦,05358,05358,54,ダ1000,,稍,-6,1:05.0,3.1,2,5-5,36.5-37.5,39.8,446(0),,,フラワーフローラ,41.0
ボンシャンス,牡2,2025/10/01,船橋,曇,1,2歳六　未受賞,,11,4,4,4.1,1,4,笠野雄大,a0235,a0235,54,ダ1200,,稍,-6,1:19.5,1.8,-2,2-1-1,37.2-40.5,42.3,449(-3),,,カミイウルフ,31.5
ボンシャンス,牡2,2025/08/30,船橋,晴,2,プルメリアデビュー(2歳),,6,2,2,2.9,2,6,笹川翼,05524,a0235,54,ダ1000,,良,-9,1:05.8,4.2,-14,3-3,35.6-38.1,42.1,452(0),,,チカアイドル,
カミカゼスカイ,牝2,2025/12/12,船橋,晴,1,カトレアデビュー(2歳),,7,3,3,29.6,5,5,椿聡太,a05d9,05618,51,ダ1000,,良,-6,1:05.7,4.2,-10,7-7,35.8-37.9,39.9,431(0),,,イニシエート,41.0
